%time,field.header.seq,field.header.stamp,field.header.frame_id,field.values0,field.values1,field.values2,field.values3
1629153480567029647,8481,851788000000,,841832376.0,841832401.0,841832428.0,841832430.0
1629153480593651400,8482,851808000000,,841852169.0,841852191.0,841852217.0,841852218.0
1629153480595402898,8483,851828000000,,841871992.0,841872015.0,841872047.0,841872048.0
1629153480608136844,8484,851848000000,,841890464.0,841890486.0,841890514.0,841891237.0
1629153480647431990,8485,851858000000,,841901736.0,841901768.0,841901793.0,841901795.0
1629153480661460597,8486,851858000000,,841901736.0,841901768.0,841901793.0,841901795.0
1629153480674337231,8487,851878000000,,841920515.0,841920537.0,841920562.0,841921293.0
1629153480687178035,8488,851908000000,,841950031.0,841950053.0,841950078.0,841950808.0
1629153480702215441,8489,851928000000,,841969698.0,841969720.0,841969748.0,841970476.0
1629153480727802624,8490,851938000000,,841980925.0,841980945.0,841980970.0,841980972.0
1629153480740593212,8491,851968000000,,842009063.0,842009083.0,842009108.0,842009847.0
1629153480792692425,8492,851978000000,,842019559.0,842019579.0,842019604.0,842020336.0
1629153480819636289,8493,851988000000,,842029031.0,842029055.0,842029083.0,842029084.0
1629153480973952092,8494,852048000000,,842088457.0,842088481.0,842088510.0,842088511.0
1629153480988578128,8495,852058000000,,842098223.0,842098243.0,842098268.0,842099003.0
1629153481001482768,8496,852078000000,,842118010.0,842118030.0,842118055.0,842118793.0
1629153481014412202,8497,852078000000,,842118010.0,842118030.0,842118055.0,842118793.0
1629153481027210613,8498,852088000000,,842127913.0,842127933.0,842127959.0,842128698.0
1629153481041174617,8499,852088000000,,842127913.0,842127933.0,842127959.0,842128698.0
1629153481054093365,8500,852118000000,,842157633.0,842157653.0,842157679.0,842158415.0
1629153481067072247,8501,852128000000,,842168121.0,842168143.0,842168169.0,842168903.0
1629153481080992251,8502,852128000000,,842168121.0,842168143.0,842168169.0,842168903.0
1629153481093848839,8503,852140000000,,842180079.0,842180098.0,842180123.0,842180837.0
1629153481108099335,8504,852140000000,,842180079.0,842180098.0,842180123.0,842180837.0
1629153481133784017,8505,852168000000,,842207150.0,842207170.0,842207195.0,842207933.0
1629153481146611412,8506,852178000000,,842217068.0,842217088.0,842217113.0,842217851.0
1629153481159473449,8507,852188000000,,842227546.0,842227568.0,842227594.0,842228328.0
1629153481172391568,8508,852188000000,,842227546.0,842227568.0,842227594.0,842228328.0
1629153481185218544,8509,852208000000,,842246774.0,842246794.0,842246819.0,842247556.0
1629153481199577714,8510,852228000000,,842267183.0,842267203.0,842267228.0,842267229.0
1629153481212474113,8511,852248000000,,842286541.0,842286564.0,842286593.0,842286594.0
1629153481225375680,8512,852258000000,,842296349.0,842296369.0,842296394.0,842297133.0
1629153481238176046,8513,852268000000,,842306189.0,842306209.0,842306234.0,842306973.0
1629153481264802548,8514,852278000000,,842316096.0,842316116.0,842316141.0,842316880.0
1629153481291365633,8515,852288000000,,842326589.0,842326611.0,842326640.0,842327371.0
1629153481293076972,8516,852318000000,,842355715.0,842355735.0,842355760.0,842356502.0
1629153481305999073,8517,852328000000,,842365618.0,842365638.0,842365663.0,842366403.0
1629153481318885065,8518,852338000000,,842376119.0,842376151.0,842376176.0,842376906.0
1629153481332412207,8519,852338000000,,842376119.0,842376151.0,842376176.0,842376906.0
1629153481345366714,8520,852369000000,,842406857.0,842406877.0,842406903.0,842406904.0
1629153481358421375,8521,852378000000,,842415137.0,842415157.0,842415182.0,842415922.0
1629153481372522269,8522,852378000000,,842415137.0,842415157.0,842415182.0,842415922.0
1629153481385384585,8523,852388000000,,842425040.0,842425060.0,842425085.0,842425827.0
1629153481398209256,8524,852398000000,,842434944.0,842434964.0,842434990.0,842435732.0
1629153481399885325,8525,852408000000,,842444924.0,842444944.0,842444969.0,842445716.0
1629153481412859528,8526,852421000000,,842457326.0,842457348.0,842457374.0,842458088.0
1629153481425723380,8527,852459000000,,842496038.0,842496058.0,842496083.0,842496085.0
1629153481451206428,8528,852468000000,,842504279.0,842504299.0,842504324.0,842505064.0
1629153481464066998,8529,852468000000,,842504279.0,842504299.0,842504324.0,842505064.0
1629153481476947054,8530,852478000000,,842513349.0,842513371.0,842513396.0,842513399.0
1629153481489797357,8531,852488000000,,842524244.0,842524271.0,842524298.0,842524300.0
1629153481492966229,8532,852498000000,,842534001.0,842534023.0,842534048.0,842534789.0
1629153481506026757,8533,852528000000,,842563708.0,842563728.0,842563753.0,842564491.0
1629153481518937822,8534,852538000000,,842572777.0,842572799.0,842572824.0,842572826.0
1629153481532222752,8535,852538000000,,842572777.0,842572799.0,842572824.0,842572826.0
1629153481545070541,8536,852568000000,,842602743.0,842602765.0,842602790.0,842602792.0
1629153481558016877,8537,852579000000,,842614823.0,842614843.0,842614868.0,842614870.0
1629153481572019014,8538,852579000000,,842614823.0,842614843.0,842614868.0,842614870.0
