%time,field.header.seq,field.header.stamp,field.header.frame_id,field.values0,field.values1,field.values2,field.values3
1629157732323281774,101,56137000000,,55540848.0,55540870.0,55540895.0,55541674.0
1629157732336948070,102,56137000000,,55540848.0,55540870.0,55540895.0,55541674.0
1629157732402372678,103,56217000000,,55620143.0,55620166.0,55620198.0,55621005.0
1629157732558628818,104,56487000000,,55887589.0,55887611.0,55887637.0,55888436.0
1629157732609861644,105,56527000000,,55926354.0,55926376.0,55926401.0,55927198.0
1629157732700403962,106,56617000000,,56015773.0,56015798.0,56015824.0,56016619.0
1629157732751908959,107,56667000000,,56064459.0,56064481.0,56064507.0,56065282.0
1629157732858307313,108,56797000000,,56193801.0,56193823.0,56193849.0,56194646.0
1629157732895950179,109,56837000000,,56232568.0,56232590.0,56232616.0,56233393.0
1629157732908700364,110,56837000000,,56232568.0,56232590.0,56232616.0,56233393.0
1629157732949150717,111,56887000000,,56282662.0,56282684.0,56282709.0,56283488.0
1629157733000272425,112,56927000000,,56321461.0,56321483.0,56321509.0,56322289.0
1629157733154273804,113,57287000000,,56677635.0,56677657.0,56677693.0,56678470.0
1629157733192847587,114,57328000000,,56718165.0,56718187.0,56718213.0,56718988.0
1629157733332856510,115,57547000000,,56935036.0,56935055.0,56935081.0,56935856.0
1629157733360935637,116,57599000000,,56985757.0,56985777.0,56985802.0,56986599.0
1629157733399523528,117,57627000000,,57013319.0,57013340.0,57013368.0,57014172.0
1629157733412150164,118,57638000000,,57024667.0,57024687.0,57024713.0,57025508.0
1629157733658666952,119,57909000000,,57292093.0,57292113.0,57292138.0,57292915.0
1629157733811354193,120,58077000000,,57458855.0,57458877.0,57458902.0,57459699.0
1629157733914523846,121,58168000000,,57548220.0,57548243.0,57548269.0,57549062.0
1629157734054985342,122,58348000000,,57726481.0,57726501.0,57726526.0,57727308.0
1629157734120552706,123,58429000000,,57806046.0,57806066.0,57806091.0,57806872.0
1629157734148677021,124,58479000000,,57856278.0,57856327.0,57856352.0,57857131.0
1629157734225615691,125,58558000000,,57934004.0,57934024.0,57934049.0,57934839.0
1629157734238446683,126,58558000000,,57934004.0,57934024.0,57934049.0,57934839.0
1629157734442824631,127,58740000000,,58114245.0,58114267.0,58114303.0,58115075.0
1629157734469600726,128,58740000000,,58114245.0,58114267.0,58114303.0,58115075.0
1629157734584149996,129,58831000000,,58203459.0,58203479.0,58203505.0,58204298.0
1629157734634152564,130,58870000000,,58242335.0,58242354.0,58242380.0,58243158.0
1629157734662372561,131,58921000000,,58292489.0,58292508.0,58292534.0,58293322.0
1629157734944938852,132,59170000000,,58538788.0,58538807.0,58538833.0,58539630.0
1629157734958077286,133,59170000000,,58538788.0,58538807.0,58538833.0,58539630.0
1629157735232268330,134,59428000000,,58793126.0,58793148.0,58793173.0,58794011.0
1629157735375355236,135,59570000000,,58934132.0,58934151.0,58934177.0,58934967.0
1629157735387770462,136,59570000000,,58934132.0,58934151.0,58934177.0,58934967.0
1629157735515416820,137,59687000000,,59049114.0,59049137.0,59049164.0,59049958.0
1629157735527989468,138,59687000000,,59049114.0,59049137.0,59049164.0,59049958.0
1629157735604864862,139,59777000000,,59138520.0,59138542.0,59138567.0,59139345.0
1629157735617827226,140,59777000000,,59138520.0,59138542.0,59138567.0,59139345.0
1629157735775244271,141,59907000000,,59266888.0,59266909.0,59266935.0,59267726.0
1629157735787983351,142,59907000000,,59266888.0,59266909.0,59266935.0,59267726.0
1629157735852012458,143,59958000000,,59317118.0,59317140.0,59317169.0,59317951.0
1629157736005018526,144,60127000000,,59484039.0,59484064.0,59484091.0,59484909.0
1629157736017748388,145,60127000000,,59484039.0,59484064.0,59484091.0,59484909.0
1629157736083295568,146,60177000000,,59534382.0,59534404.0,59534429.0,59535212.0
1629157736097222861,147,60177000000,,59534382.0,59534404.0,59534429.0,59535212.0
1629157736135147887,148,60227000000,,59582913.0,59582935.0,59582961.0,59583743.0
1629157736147869507,149,60227000000,,59582913.0,59582935.0,59582961.0,59583743.0
1629157736200233834,150,60268000000,,59623408.0,59623430.0,59623455.0,59624248.0
1629157736267203685,151,60347000000,,59701165.0,59701187.0,59701213.0,59701988.0
1629157736473588527,152,60577000000,,59929520.0,59929542.0,59929567.0,59930352.0
1629157736550295183,153,60667000000,,60018563.0,60018585.0,60018610.0,60019414.0
1629157736602959270,154,60758000000,,60107755.0,60107777.0,60107802.0,60108604.0
1629157736616607966,155,60758000000,,60107755.0,60107777.0,60107802.0,60108604.0
1629157736681112064,156,60837000000,,60185498.0,60185520.0,60185545.0,60186325.0
1629157736849407194,157,61027000000,,60373484.0,60373506.0,60373532.0,60374330.0
1629157736914905275,158,61068000000,,60414009.0,60414030.0,60414056.0,60414851.0
1629157737007188881,159,61147000000,,60491829.0,60491849.0,60491874.0,60492649.0
1629157737045243323,160,61197000000,,60541930.0,60541952.0,60541977.0,60542760.0
1629157737057937426,161,61197000000,,60541930.0,60541952.0,60541977.0,60542760.0
1629157737084653597,162,61278000000,,60621666.0,60621688.0,60621713.0,60622490.0
1629157737097589002,163,61278000000,,60621666.0,60621688.0,60621713.0,60622490.0
1629157737147971298,164,61327000000,,60670311.0,60670333.0,60670359.0,60671143.0
1629157737239631219,165,61407000000,,60749714.0,60749736.0,60749761.0,60750561.0
1629157737267673260,166,61447000000,,60788542.0,60788564.0,60788589.0,60789387.0
1629157737319547929,167,61498000000,,60838804.0,60838826.0,60838851.0,60839635.0
1629157737462047957,168,61628000000,,60967426.0,60967448.0,60967473.0,60968282.0
1629157737640684511,169,61807000000,,61144002.0,61144047.0,61144072.0,61144868.0
1629157737680250811,170,61847000000,,61184532.0,61184552.0,61184577.0,61185357.0
1629157737757088630,171,61977000000,,61312576.0,61312596.0,61312626.0,61313417.0
1629157737832809893,172,62067000000,,61401602.0,61401625.0,61401651.0,61402446.0
1629157737964398033,173,62208000000,,61540811.0,61540830.0,61540856.0,61541631.0
1629157738092157254,174,62338000000,,61669856.0,61669875.0,61669901.0,61670679.0
1629157738154952681,175,62417000000,,61746678.0,61746700.0,61746726.0,61747524.0
1629157738158060346,176,62429000000,,61759660.0,61759680.0,61759706.0,61760505.0
1629157738261894261,177,62520000000,,61848877.0,61848897.0,61848922.0,61849720.0
1629157738350232453,178,62598000000,,61926793.0,61926853.0,61926878.0,61927659.0
1629157738390558977,179,62638000000,,61965768.0,61965788.0,61965813.0,61966590.0
1629157738429393269,180,62677000000,,62004666.0,62004686.0,62004711.0,62005510.0
1629157738457766987,181,62728000000,,62054833.0,62054853.0,62054878.0,62055671.0
1629157738690482824,182,62910000000,,62234710.0,62234730.0,62234756.0,62235532.0
1629157738923025595,183,63081000000,,62403431.0,62403451.0,62403476.0,62404269.0
1629157738936844704,184,63081000000,,62403431.0,62403451.0,62403476.0,62404269.0
1629157739054113320,185,63147000000,,62468240.0,62468262.0,62468288.0,62469108.0
1629157739066931042,186,63160000000,,62481234.0,62481280.0,62481306.0,62482101.0
1629157739458118810,187,63447000000,,62764573.0,62764595.0,62767885.0,62768665.0
1629157739547853691,188,63540000000,,62857254.0,62857273.0,62857298.0,62858075.0
1629157739562059792,189,63540000000,,62857254.0,62857273.0,62857298.0,62858075.0
1629157739744560533,190,63730000000,,63045083.0,63045103.0,63045128.0,63045925.0
1629157739757691355,191,63730000000,,63045083.0,63045103.0,63045128.0,63045925.0
1629157740053433795,192,63950000000,,63262048.0,63262068.0,63262093.0,63262871.0
